S.No,Country,City,Company,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,CONTACT,Google Map,Category,Reviews,Comments,Standard_Category,Conversion_Probability,Rank,Reviews_Normalized,Comments_Normalized,Lead_Score,Final_Score,Company_Name_Length,Company_Word_Count,Category_Frequency,City_Frequency,City_Encoded,Category_Encoded,Predicted_Probability,,
46,India,Delhi,Jain Commercial Institute,,,,,9868239101,"https://www.google.com/maps/place/Jain+Commercial+Institute/@28.6326698,77.2083148,17z/data=!3m1!4b1!4m6!3m5!1s0x390cfd4ffc2c5a57:0x28143d6242a9ebff!8m2!3d28.6326698!4d77.2083148!16s%2Fg%2F12qgfns8n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Computer Training School,4.8,213,Training Center,0.85,1,0.96,0.69742913,0.828714565,0.841485826,25,3,74,26,1,10,0.8419665,,
47,India,Delhi,NF.Computer Centre,,,,,8178811911,"https://www.google.com/maps/place/NF.Computer+Centre./@28.5684993,77.2850545,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce3d941629f97:0xb27b010fac518383!8m2!3d28.5684993!4d77.2850545!16s%2Fg%2F11fmp8_y9x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Caoching Center,4.9,165,Coaching Center,0.85,2,0.98,0.664417654,0.822208827,0.838883531,18,2,41,26,1,0,0.83818775,,
48,India,Delhi,DELBEE Computer Education,,,,,9818880856,"https://www.google.com/maps/place/DELBEE+Computer+Education/@28.7606408,77.1892043,17z/data=!3m1!4b1!4m6!3m5!1s0x390d002b71ef31f3:0xb3009b89ebd98089!8m2!3d28.7606408!4d77.1892043!16s%2Fg%2F12hkwpwg7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Institute Of Technology,4.8,306,Training Center,0.85,1,0.96,0.744332519,0.852166259,0.850866504,25,3,74,26,1,10,0.85337895,,
49,India,Delhi,C-Tech Computer Institute,,,,,9810542636,"https://www.google.com/maps/place/C-Tech+Computer+Institute+./@28.5908059,77.0889846,17z/data=!3m1!4b1!4m6!3m5!1s0x390d1b8f55d2262d:0xa46307cf467bd9fb!8m2!3d28.5908059!4d77.0889846!16s%2Fg%2F11t0pczc6b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Software Training Institute,4.9,179,Training Center,0.85,1,0.98,0.674941403,0.827470701,0.840988281,25,3,74,26,1,10,0.84083134,,
50,India,Delhi,Delhi Institute of Computer Training,,,,,8860061520,"https://www.google.com/maps/place/Delhi+Institute+of+Computer+Training/@28.617614,77.057016,17z/data=!3m1!4b1!4m6!3m5!1s0x390d05910a6a5aad:0x7bb62fba3ae1c2f9!8m2!3d28.617614!4d77.057016!16s%2Fg%2F11s0wmnjs7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Education Center,4.9,80,Training Center,0.85,1,0.98,0.571157389,0.775578695,0.820231478,36,5,74,26,1,10,0.8198694,,
51,India,Delhi,M.D. INFOTECH – Educational Institution for Best Computer Courses & AI,,,,,8447484748,"https://www.google.com/maps/place/M.D.+INFOTECH+%E2%80%93+Educational+Institution+for+Best+Computer+Courses+%26+AI/@28.5780833,77.2095678,17z/data=!3m1!4b1!4m6!3m5!1s0x390ce289bf4b6727:0xfab350465f9bb65b!8m2!3d28.5780833!4d77.2095678!16s%2Fg%2F11bt_924r6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Educational Institute,4.9,88,Training Center,0.85,1,0.98,0.583399134,0.781699567,0.822679827,70,11,74,26,1,10,0.8254038,,
52,India,Lucknow,U Bansal Clinic,,,,,9415084010,"https://www.google.com/maps/place/U+Bansal+Clinic/@26.8357503,80.9431243,17z/data=!3m1!4b1!4m6!3m5!1s0x399bfd2c02f03f97:0xcdcb407e2984ba8b!8m2!3d26.8357503!4d80.9431243!16s%2Fg%2F11g4jh0cjp?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Medical Clinic,4.8,10,Medical Clinic,0.85,4,0.96,0.311660359,0.63583018,0.764332072,15,3,103,20,7,3,0.7693908,,
53,India,Lucknow,SM Polyclinic. Dr Nida Parveen MBBS MD,,,,,8400666607,"https://www.google.com/maps/place/SM+Polyclinic.+Dr+Nida+Parveen+MBBS+MD/@26.8637242,80.878065,17z/data=!3m1!4b1!4m6!3m5!1s0x399bff03dbea3a57:0x300ba1ea31adebef!8m2!3d26.8637242!4d80.878065!16s%2Fg%2F11y46ztyqq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Medical Clinic,5,4,Medical Clinic,0.85,4,1,0.209182613,0.604591306,0.751836523,38,7,103,20,7,3,0.74928993,,
54,India,Lucknow,Med care Hospital,,,,,9415792940,"https://www.google.com/maps/place/Med+care+Hospital/@26.9194796,80.9577046,17z/data=!3m1!4b1!4m6!3m5!1s0x399957a4c43ba84d:0x67186122181d5514!8m2!3d26.9194796!4d80.9577046!16s%2Fg%2F1hdzcdsyk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Medical Center,4.8,42,Medical Clinic,0.85,4,0.96,0.488852451,0.724426225,0.79977049,17,3,103,20,7,3,0.79660606,,
55,India,Lucknow,Aviral Clinic,,,,,7905854984,"https://www.google.com/maps/place/Aviral+Clinic+-Dr+Sandeep+Mishra-Piles+%26+Fistula+Specialist+-Best+Ksharsutra+%26+Laser+treatment+in+Lucknow/@26.847131,81.0439357,17z/data=!3m1!4b1!4m6!3m5!1s0x399be3554d5fa9cf:0xb6801c6da0df10c1!8m2!3d26.847131!4d81.0439357!16s%2Fg%2F11mfg5x182?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Surgeon,5,266,Medical Clinic,0.85,4,1,0.726188481,0.86309424,0.855237696,13,2,103,20,7,3,0.8550094,,
56,India,Lucknow,Wasif Clinic,,,,,8960660898,"https://www.google.com/maps/place/Wasif+Clinic/@26.8723385,80.9001435,17z/data=!3m1!4b1!4m6!3m5!1s0x399bfd00b49bec73:0x55e73659e3f97a26!8m2!3d26.8723385!4d80.9001435!16s%2Fg%2F11f6nk0kk5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Hospital,4.9,16,Medical Clinic,0.85,4,0.98,0.368239722,0.674119861,0.779647944,12,2,103,20,7,3,0.77793306,,
57,India,Lucknow,Mera Clinic India,,,,,5222983589,"https://www.google.com/maps/place/Mera+Clinic+India/@26.8728835,80.8911099,15z/data=!3m1!4b1!4m6!3m5!1s0x399bfe047093e151:0x422620cb736c684a!8m2!3d26.8728835!4d80.8911099!16s%2Fg%2F11kb7g7d10?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Medical Centre,5,2,Medical Clinic,0.85,4,1,0.142789347,0.571394674,0.738557869,17,3,103,20,7,3,0.7395563,,
58,India,Lucknow,Dhawan Medical Center,,,,,7238079655,"https://www.google.com/maps/place/Dhawan+Medical+Center/@26.8717495,80.9735105,17z/data=!3m1!4b1!4m6!3m5!1s0x399bfd4518aed571:0xdb7cfe6ebec6f72c!8m2!3d26.8717495!4d80.9735105!16s%2Fg%2F11bv3rrnj7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Obstetrician-Gynecologist,4.8,562,Medical Clinic,0.85,4,0.96,0.823151965,0.891575983,0.866630393,21,3,103,20,7,3,0.8666391,,
59,India,Lucknow,Ashirwad Health Care,,,,,8090998914,"https://www.google.com/maps/place/Ashirwad+Health+Care/@26.884694,80.9912656,17z/data=!3m1!4b1!4m6!3m5!1s0x399be2aa6c954eab:0x9f79ca1dcb840b34!8m2!3d26.884694!4d80.9912656!16s%2Fg%2F11td8c14f7?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Hospital,3,57,Medical Clinic,0.85,4,0.6,0.527745787,0.563872894,0.735549157,20,3,103,20,7,3,0.73361677,,
60,India,Lucknow,M V Hospital Research Centre,,,,,8417001034,"https://www.google.com/maps/place/M+V+Hospital+Research+Centre/@26.8687163,80.9069571,17z/data=!3m1!4b1!4m6!3m5!1s0x399bfde4d57e7131:0x65fdada859e1e74c!8m2!3d26.8687163!4d80.9069571!16s%2Fg%2F1tcwpk5q?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Hospital,4.1,107,Medical Clinic,0.85,4,0.82,0.608548137,0.714274069,0.795709627,28,5,103,20,7,3,0.8027078,,
